Identificador,Fonte,Mês,Município,Código do município,Local do crime,Idade da vítima,Vínculo entre vítima e suspeito,Arma ou meio utilizado,Filhos dependentes (informação disponível?),Consumado,Tentado,Consumado ou Tentado,Idade do agressor,Período do dia
2025-BR-0420,Imprensa,1,pato branco,4118501,Casa da vítima,54,Familiar direto,Arma branca,Não,1,,Consumado,26,Incerto/Desconhecido
2025-BR-0423,Imprensa,1,ponta grossa,4119905,Casa da vítima,45,Incerto/Desconhecido,Arma de fogo,Não,1,,Consumado,NA,Noite
2025-BR-0424,Imprensa,1,ponta grossa,4119905,Casa da vítima,26,Incerto/Desconhecido,Arma de fogo,Não,1,,Consumado,NA,Noite
2025-BR-0426,Imprensa,1,colombo,4105805,Local de trabalho da vítima,NA,Membro da família por afiliação,Arma branca,Incerto/Desconhecido,,2,Tentado,41,Dia
2025-BR-0455,Imprensa,1,marechal candido rondon,4114609,"Espaço público (rua, praça, parque, bar)",NA,Conhecido,Fogo ou outros meios combustíveis,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-0458,Imprensa,1,general carneiro,4108502,Incerto/Desconhecido,16,Membro da família por afiliação,Asfixia/Estrangulamento,Não,1,,Consumado,36,Incerto/Desconhecido
2025-BR-0467,Imprensa,1,francisco beltrao,4108403,"Espaço público (rua, praça, parque, bar)",17,Ex-companheiro/ex-coabitante,Arma branca,Não,1,,Consumado,27,Noite
2025-BR-0468,Imprensa,1,francisco beltrao,4108403,"Espaço público (rua, praça, parque, bar)",NA,Conhecido,Arma branca,Sim,,2,Tentado,27,Noite
2025-BR-0495,Imprensa,1,curitiba,4106902,Residência do casal,79,Membro da família por afiliação,Incerto/Desconhecido,Não,1,,Consumado,NA,Dia
2025-BR-0499,Imprensa,1,cruzeiro do iguacu,4106571,Casa da vítima,NA,Familiar direto,Arma branca,Incerto/Desconhecido,,2,Tentado,27,Dia
2025-BR-0500,Imprensa,1,curitiba,4106902,"Espaço público (rua, praça, parque, bar)",42,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,1,,Consumado,NA,Noite
2025-BR-0506,Imprensa,1,sao jose das palmeiras,4125456,Instituição educacional,31,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,NA,Dia
2025-BR-0507,Imprensa,1,jandaia do sul,4112108,Casa do agressor,NA,Ex-companheiro/ex-coabitante,Asfixia/Enforcamento,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-0511,Imprensa,2,sao jose dos pinhais,4125506,Residência do casal,44,Parceiro/coabitante/vínculo sexual emocional,Fogo ou outros meios combustíveis,Não,1,,Consumado,55,Noite
2025-BR-0515,Imprensa,2,sao jose dos pinhais,4125506,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0529,SINESP,2,andira,4101101,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0535,SINESP,2,arapongas,4101507,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0580,SINESP,2,jandaia do sul,4112108,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0602,SINESP,2,querencia do norte,4121000,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0607,SINESP,2,salto do lontra,4123006,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0614,SINESP,2,santo antonio do sudoeste,4124400,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0682,Imprensa,2,palmas,4117602,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,28,Dia
2025-BR-0706,Imprensa,2,matinhos,4115705,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Sim,1,,Consumado,NA,Dia
2025-BR-0707,Imprensa,2,pien,4106902,Outra habitação,56,Parceiro/coabitante/vínculo sexual emocional,Objetos contundentes,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-0753,Imprensa,2,maringa,4115200,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Objetos contundentes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0778,Imprensa,2,foz do iguacu,4108304,Incerto/Desconhecido,48,Incerto/Desconhecido,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-0787,Imprensa,2,curitiba,4106902,"Espaço público (rua, praça, parque, bar)",27,Incerto/Desconhecido,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-0793,Imprensa,2,piraquara,4119509,Casa da vítima,28,Incerto/Desconhecido,Arma de fogo,Sim,1,,Consumado,27,Dia
2025-BR-0797,Imprensa,2,guaira,4108809,"Espaço público (rua, praça, parque, bar)",17,Conhecido,Arma branca,Incerto/Desconhecido,1,,Consumado,67,Noite
2025-BR-0801,Imprensa,2,almirante tamandare,4100400,"Espaço público (rua, praça, parque, bar)",23,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,22,Incerto/Desconhecido
2025-BR-0809,Imprensa,2,curitiba,4106902,Incerto/Desconhecido,33,Membro da família por afiliação,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-0826,Imprensa,2,missal,4116059,Residência do casal,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0851,Imprensa,2,chopinzinho,4105409,Casa da vítima,45,Incerto/Desconhecido,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-0857,Imprensa,2,guarapuava,4109401,Outro,27,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,29,Noite
2025-BR-0865,Imprensa,2,curitiba,4106902,Casa da vítima,24,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,1,,Consumado,61,Noite
2025-BR-0866,Imprensa,2,foz do iguacu,4108304,"Espaço público (rua, praça, parque, bar)",25,Ex-companheiro/ex-coabitante,Arma de fogo,Não,1,,Consumado,NA,Noite
2025-BR-0875,Imprensa,2,paranagua,4118204,Terreno baldio/depósito lixo,19,Incerto/Desconhecido,Fogo ou outros meios combustíveis,Sim,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-0880,Imprensa,2,sao mateus do sul,4125605,"Espaço público (rua, praça, parque, bar)",38,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,1,,Consumado,NA,Noite
2025-BR-0881,Imprensa,2,ponta grossa,4119905,Casa da vítima,61,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Noite
2025-BR-0918,Imprensa,3,toledo,4127700,Casa da vítima,46,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,1,,Consumado,34,Noite
2025-BR-0952,Imprensa,3,uniao da vitoria,4128203,"Espaço público (rua, praça, parque, bar)",20,Incerto/Desconhecido,Asfixia/Enforcamento,Sim,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-0983,Imprensa,3,ipora,4110607,Casa da vítima,29,Ex-companheiro/ex-coabitante,Fogo ou outros meios combustíveis,Sim,1,,Consumado,39,Dia
2025-BR-1011,Imprensa,3,sarandi,4126256,Casa da vítima,38,Ex-companheiro/ex-coabitante,Arma branca,Não,,2,Tentado,NA,Noite
2025-BR-1012,Imprensa,3,apucarana,4101408,"Espaço público (rua, praça, parque, bar)",19,Parceiro/coabitante/vínculo sexual emocional,Atropelamento com veículo,Não,,2,Tentado,25,Noite
2025-BR-1022,Imprensa,3,maringa,4115200,"Espaço público (rua, praça, parque, bar)",NA,Incerto/Desconhecido,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-1038,Imprensa,3,colombo,4105805,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Fogo ou outros meios combustíveis,Sim,,2,Tentado,NA,Noite
2025-BR-1074,Imprensa,3,curitiba,4106902,"Espaço público (rua, praça, parque, bar)",31,Parceiro/coabitante/vínculo sexual emocional,Atropelamento com veículo,Incerto/Desconhecido,1,,Consumado,NA,Noite
2025-BR-1099,Imprensa,3,castro,4104907,Incerto/Desconhecido,31,Ex-companheiro/ex-coabitante,Objetos contundentes,Incerto/Desconhecido,,2,Tentado,30,Incerto/Desconhecido
2025-BR-1131,Imprensa,3,cascavel,4104808,"Espaço público (rua, praça, parque, bar)",41,Incerto/Desconhecido,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-1136,SINESP,3,almirante tamandare,4100400,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-1147,SINESP,3,barracao,4102604,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-1164,SINESP,3,carambei,4104659,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-1179,SINESP,3,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-1196,SINESP,3,foz do iguacu,4108304,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-1232,SINESP,3,mato rico,4115739,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-1252,SINESP,3,palotina,4117909,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-1339,Imprensa,5,paranagua,4118204,Casa da vítima,25,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-1347,Imprensa,4,paranagua,4118204,Residência do casal,24,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,1,,Consumado,35,Noite
2025-BR-1351,Imprensa,4,pontal do parana,4119954,Casa da vítima,42,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,31,Dia
2025-BR-1354,Imprensa,4,francisco beltrao,4108403,Casa da vítima,24,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,1,,Consumado,32,Dia
2025-BR-1385,Imprensa,4,mangueirinha,4114401,"Espaço público (rua, praça, parque, bar)",36,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-1410,Imprensa,4,francisco beltrao,4108403,Casa da vítima,34,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,38,Dia
2025-BR-1413,Imprensa,4,maringa,4115200,Outra habitação,60,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-1417,Imprensa,5,sao jose dos pinhais,4125506,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma de fogo,Sim,,2,Tentado,NA,Noite
2025-BR-1418,Imprensa,4,carambei,4104659,"Espaço público (rua, praça, parque, bar)",35,Parceiro/coabitante/vínculo sexual emocional,Asfixia/Enforcamento,Incerto/Desconhecido,,2,Tentado,45,Incerto/Desconhecido
2025-BR-1420,Imprensa,5,mandirituba,4114302,Casa da vítima,24,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,NA,Noite
2025-BR-1483,Imprensa,5,paranagua,4118204,Residência do casal,47,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,49,Dia
2025-BR-1506,Imprensa,4,curitiba,4106902,Casa da vítima,35,Outro vínculo,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-1508,Imprensa,4,grandes rios,4108700,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Objetos contundentes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-1520,Imprensa,5,marechal candido rondon,4114609,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,NA,Dia
2025-BR-1548,Imprensa,5,arapongas,4101507,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,NA,Noite
2025-BR-1552,Imprensa,4,jardim alegre,4112504,Casa da vítima,43,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,1,,Consumado,NA,Noite
2025-BR-1554,Imprensa,4,jaguapita,4111902,"Espaço público (rua, praça, parque, bar)",30,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-1580,Imprensa,3,curitiba,4106902,"Espaço público (rua, praça, parque, bar)",NA,Outro vínculo,Arma de fogo,Incerto/Desconhecido,,2,Tentado,26,Noite
2025-BR-1632,Imprensa,5,nova prata do iguacu,4117255,Casa da vítima,43,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,46,Dia
2025-BR-1633,Imprensa,4,ponta grossa,4119905,Incerto/Desconhecido,17,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,31,Noite
2025-BR-1635,Imprensa,4,nova esperanca,4116901,"Espaço público (rua, praça, parque, bar)",40,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,42,Noite
2025-BR-1650,Imprensa,5,marechal candido rondon,4114609,Incerto/Desconhecido,NA,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Sim,,2,Tentado,NA,Noite
2025-BR-1652,Imprensa,5,marechal candido rondon,4114609,Incerto/Desconhecido,NA,Familiar direto,Arma de fogo,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-1669,Imprensa,5,ponta grossa,4119905,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,NA,Noite
2025-BR-1672,Imprensa,5,arapongas,4101507,Casa da vítima,39,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-1702,Imprensa,5,maringa,4115200,Casa da vítima,33,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-1714,Imprensa,4,arapongas,4101507,"Espaço público (rua, praça, parque, bar)",NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-1721,Imprensa,4,vitorino,4128708,Casa do agressor,3,Familiar direto,Arma branca,Não,,2,Tentado,NA,Dia
2025-BR-1722,Imprensa,4,colombo,4105805,"Espaço público (rua, praça, parque, bar)",41,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,,2,Tentado,42,Dia
2025-BR-1726,Imprensa,5,cambe,4103701,Casa da vítima,36,Ex-companheiro/ex-coabitante,Arma de fogo,Sim,1,,Consumado,NA,Dia
2025-BR-1736,Imprensa,5,londrina,4113700,Casa da vítima,19,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,22,Dia
2025-BR-1748,Imprensa,4,apucarana,4101408,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Asfixia/Estrangulamento,Sim,,2,Tentado,NA,Noite
2025-BR-1765,Imprensa,4,ponta grossa,4119905,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Asfixia/Estrangulamento,Incerto/Desconhecido,,2,Tentado,NA,Noite
