Identificador,Fonte,Mês,Município,Código do município,Local do crime,Idade da vítima,Vínculo entre vítima e suspeito,Arma ou meio utilizado,Filhos dependentes (informação disponível?),Consumado,Tentado,Consumado ou Tentado,Idade do agressor,Período do dia
2025-BR-4810,Imprensa,10,arapongas,4101507,Outra habitação,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-4839,Imprensa,10,araucaria,4101804,Residência do casal,28,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,NA,Dia
2025-BR-4845,Imprensa,10,araucaria,4101804,Casa da vítima,66,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Não,1,,Consumado,55,Dia
2025-BR-4875,Imprensa,10,campina da lagoa,4103909,"Espaço público (rua, praça, parque, bar)",NA,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-4881,Imprensa,10,cascavel,4104808,Casa da vítima,19,Familiar direto,Arma branca,Incerto/Desconhecido,,2,Tentado,21,Dia
2025-BR-4919,Imprensa,10,cascavel,4104808,Casa da vítima,54,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-4961,Imprensa,10,curitiba,4106902,Local de trabalho da vítima,45,Ex-companheiro/ex-coabitante,Arma branca,Não,1,,Consumado,56,Noite
2025-BR-4963,Imprensa,10,curitiba,4106902,Outro,22,Familiar direto,Arma branca,Incerto/Desconhecido,,2,Tentado,56,Noite
2025-BR-5002,Imprensa,10,foz do iguacu,4108304,Residência do casal,55,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,70,Noite
2025-BR-5009,Imprensa,10,guarapuava,4109401,Casa da vítima,32,Ex-companheiro/ex-coabitante,Fogo ou outros meios combustíveis,Sim,,2,Tentado,34,Dia
2025-BR-5010,Imprensa,10,ipiranga,4110508,Local de trabalho da vítima,NA,Não se conheciam,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-5051,Imprensa,10,londrina,4113700,Casa da vítima,61,Familiar direto,Arma branca,Incerto/Desconhecido,,2,Tentado,25,Noite
2025-BR-5056,Imprensa,10,lupionopolis,4113809,"Espaço público (rua, praça, parque, bar)",26,Ex-companheiro/ex-coabitante,Atropelamento com veículo,Incerto/Desconhecido,,2,Tentado,39,Dia
2025-BR-5057,Imprensa,10,nova esperanca,4116901,Incerto/Desconhecido,20,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-5060,Imprensa,10,peabiru,4118808,Outra habitação,34,Conhecido,Arma branca,Incerto/Desconhecido,,2,Tentado,22,Dia
2025-BR-5068,Imprensa,10,piraquara,4119509,"Espaço público (rua, praça, parque, bar)",38,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Sim,,2,Tentado,45,Incerto/Desconhecido
2025-BR-5071,Imprensa,10,ponta grossa,4119905,"Espaço público (rua, praça, parque, bar)",NA,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-5075,Imprensa,10,reserva,4121703,Casa da vítima,33,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,1,,Consumado,35,Dia
2025-BR-5084,Imprensa,10,tres barras do parana,4127858,Terreno baldio/depósito lixo,NA,Incerto/Desconhecido,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-5260,SINESP,10,bandeirantes,4102406,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5261,SINESP,10,colombo,4105805,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-5262,SINESP,10,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5263,SINESP,10,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5264,SINESP,10,guarapuava,4109401,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5265,SINESP,10,ibaiti,4109708,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5266,SINESP,10,palmas,4117602,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5267,SINESP,10,umuarama,4128104,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5436,SINESP,2,arapongas,4101507,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5437,SINESP,2,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5438,SINESP,3,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5439,SINESP,4,foz do iguacu,4108304,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-5441,SINESP,2,salto do lontra,4123006,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-5442,SINESP,1,sao jose das palmeiras,4125456,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-5631,SINESP,8,siqueira campos,4126603,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-5694,SINESP,1,jandaia do sul,4112108,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-5695,SINESP,10,piraquara,4119509,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-5732,Imprensa,11,ponta grossa,4119905,Outro,30,Ex-companheiro/ex-coabitante,Arma de fogo,Sim,,2,Tentado,52,Dia
2025-BR-5756,Imprensa,11,paranavai,4118402,Casa da vítima,63,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-5782,Imprensa,11,pirai do sul,4119400,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,30,Dia
2025-BR-5804,Imprensa,11,guarapuava,4109401,Casa da vítima,53,Parceiro/coabitante/vínculo sexual emocional,Asfixia/Estrangulamento,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-5805,Imprensa,11,capitao leonidas marques,4104600,"Espaço público (rua, praça, parque, bar)",NA,Parceiro/coabitante/vínculo sexual emocional,Jogada/empurrada de altura,Sim,1,,Consumado,NA,Noite
2025-BR-5816,Imprensa,11,Quedas do Iguaçu,4120903,Casa da vítima,59,Familiar direto,Arma branca,Incerto/Desconhecido,1,,Consumado,20,Noite
2025-BR-5832,Imprensa,11,capitao leonidas marques,4104600,"Espaço público (rua, praça, parque, bar)",26,Incerto/Desconhecido,Arma de fogo,Incerto/Desconhecido,1,,Consumado,39,Dia
2025-BR-5840,Imprensa,11,toledo,4127700,Casa da vítima,37,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,1,,Consumado,27,Dia
2025-BR-5848,Imprensa,11,dois vizinhos,4107207,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Asfixia/Estrangulamento,Sim,,2,Tentado,25,Noite
2025-BR-5856,Imprensa,11,umuarama,4128104,Residência do casal,NA,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Sim,,2,Tentado,NA,Dia
2025-BR-5859,Imprensa,11,candoi,4104428,Casa da vítima,46,Ex-companheiro/ex-coabitante,Arma branca,Não,1,,Consumado,54,Dia
2025-BR-5974,Imprensa,11,marmeleiro,4115408,Residência do casal,68,Ex-companheiro/ex-coabitante,Espancamento/golpes,Sim,1,,Consumado,74,Dia
2025-BR-5985,Imprensa,11,ortigueira,4117305,Casa da vítima,29,Membro da família por afiliação,Arma de fogo,Sim,1,,Consumado,55,Noite
2025-BR-5998,Imprensa,11,almirante tamandare,4100400,Casa da vítima,49,Familiar direto,Arma branca,Incerto/Desconhecido,1,,Consumado,47,Noite
2025-BR-6024,Imprensa,11,doutor camargo,4107306,"Espaço público (rua, praça, parque, bar)",38,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,62,Noite
2025-BR-6046,Imprensa,11,maringa,4115200,Casa da vítima,30,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-6210,SINESP,11,cambira,4103800,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-6211,SINESP,11,campina grande do sul,4104006,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6212,SINESP,11,cascavel,4104808,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6213,SINESP,11,castro,4104907,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6214,SINESP,11,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6215,SINESP,11,faxinal,4107603,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6216,SINESP,11,inacio martins,4110201,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6217,SINESP,11,inacio martins,4110201,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6219,SINESP,11,pontal do parana,4119954,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6220,SINESP,11,senges,4126306,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-6457,Imprensa,12,almirante tamandare,4100400,"Espaço público (rua, praça, parque, bar)",NA,Ex-companheiro/ex-coabitante,Asfixia/Estrangulamento,Incerto/Desconhecido,,2,Tentado,NA,Dia
