uf,municipio,evento,data_referencia,vitima
PR,AMPÉRE,Feminicídio,1/3/2025,0
PR,AMPÉRE,Feminicídio,1/4/2025,0
PR,AMPÉRE,Feminicídio,1/5/2025,0
PR,AMPÉRE,Feminicídio,1/6/2025,0
PR,AMPÉRE,Feminicídio,1/7/2025,0
PR,AMPÉRE,Feminicídio,1/8/2025,0
PR,AMPÉRE,Feminicídio,1/9/2025,0
PR,AMPÉRE,Feminicídio,1/10/2025,0
PR,AMPÉRE,Feminicídio,1/11/2025,0
PR,AMPÉRE,Feminicídio,1/12/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/1/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/2/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/3/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/4/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/5/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/6/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/7/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/8/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/9/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/10/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/11/2025,0
PR,AMPÉRE,Tentativa de feminicídio,1/12/2025,0
PR,ANAHY,Feminicídio,1/1/2025,0
PR,ANAHY,Feminicídio,1/2/2025,0
PR,ANAHY,Feminicídio,1/3/2025,0
PR,ANAHY,Feminicídio,1/4/2025,0
PR,ANAHY,Feminicídio,1/5/2025,0
PR,ANAHY,Feminicídio,1/6/2025,0
PR,ANAHY,Feminicídio,1/7/2025,0
PR,ANAHY,Feminicídio,1/8/2025,0
PR,ANAHY,Feminicídio,1/9/2025,0
PR,ANAHY,Feminicídio,1/10/2025,0
PR,ANAHY,Feminicídio,1/11/2025,0
PR,ANAHY,Feminicídio,1/12/2025,0
PR,ANAHY,Tentativa de feminicídio,1/1/2025,0
PR,ANAHY,Tentativa de feminicídio,1/2/2025,0
PR,ANAHY,Tentativa de feminicídio,1/3/2025,0
PR,ANAHY,Tentativa de feminicídio,1/4/2025,0
